Sort Algorithm, Generator, Array Size, Comparisons, Time
selectionSort, random, 10000, 49995000, 0.505000
selectionSort, orderedBackwards, 10000, 49995000, 0.534000
insertionSort, random, 10000, 23971830, 0.328000
insertionSort, orderedBackwards, 10000, 49995000, 0.634000
bubbleSort, random, 10000, 23884546, 0.779000
bubbleSort, orderedBackwards, 10000, 49995000, 1.043000
combSort, random, 10000, 19910, 0.003000
combSort, orderedBackwards, 10000, 20078, 0.003000
shellSort, random, 10000, 61913, 0.003000
shellSort, orderedBackwards, 10000, 62560, 0.003000
radixSortPositive, random, 10000, 0, 0.002000
radixSortPositive, orderedBackwards, 10000, 0, 0.002000
selectionSort, random, 20000, 199990000, 1.987000
selectionSort, orderedBackwards, 20000, 199990000, 2.106000
insertionSort, random, 20000, 96584198, 1.259000
insertionSort, orderedBackwards, 20000, 199990000, 2.778000
bubbleSort, random, 20000, 95821023, 3.585000
bubbleSort, orderedBackwards, 20000, 199990000, 4.166000
combSort, random, 20000, 39494, 0.007000
combSort, orderedBackwards, 20000, 42634, 0.007000
shellSort, random, 20000, 127945, 0.006000
shellSort, orderedBackwards, 20000, 135120, 0.005000
radixSortPositive, random, 20000, 0, 0.003000
radixSortPositive, orderedBackwards, 20000, 0, 0.003000
selectionSort, random, 30000, 449985000, 4.447000
selectionSort, orderedBackwards, 30000, 449985000, 4.764000
insertionSort, random, 30000, 217735647, 4.062000
insertionSort, orderedBackwards, 30000, 449985000, 7.510000
bubbleSort, random, 30000, 216531650, 7.349000
bubbleSort, orderedBackwards, 30000, 449985000, 9.393000
combSort, random, 30000, 58641, 0.010000
combSort, orderedBackwards, 30000, 67326, 0.010000
shellSort, random, 30000, 169145, 0.009000
shellSort, orderedBackwards, 30000, 206992, 0.009000
radixSortPositive, random, 30000, 0, 0.005000
radixSortPositive, orderedBackwards, 30000, 0, 0.005000
selectionSort, random, 40000, 799980000, 8.975000
selectionSort, orderedBackwards, 40000, 799980000, 8.491000
insertionSort, random, 40000, 384957585, 4.883000
insertionSort, orderedBackwards, 40000, 799980000, 10.389000
bubbleSort, random, 40000, 382505987, 13.077000
bubbleSort, orderedBackwards, 40000, 799980000, 18.027000
combSort, random, 40000, 79153, 0.017000
combSort, orderedBackwards, 40000, 92234, 0.014000
